txn_id,investor_id,amfi_code,transaction_date,amount,nav_at_purchase,units_allotted,transaction_type
1,INV0001,103504,2019-07-06,5000,278.2525,17.9693,SIP
2,INV0001,103504,2019-08-05,5000,318.0541,15.7206,SIP
3,INV0001,103504,2019-09-04,5000,450.694,11.094,SIP
4,INV0001,103504,2019-10-04,5000,365.4228,13.6828,SIP
5,INV0001,103504,2019-11-03,5000,158.0676,31.632,SIP
6,INV0001,103504,2019-12-03,5000,363.8804,13.7408,SIP
6236,INV0001,100033,2019-12-17,250000,177.0981,1411.647,Lumpsum
7,INV0001,103504,2020-01-02,5000,176.0297,28.4043,SIP
8,INV0001,103504,2020-02-01,5000,191.324,26.1337,SIP
9,INV0001,103504,2020-03-02,5000,280.0488,17.854,SIP
10,INV0001,103504,2020-04-01,5000,336.1521,14.8742,SIP
11,INV0001,103504,2020-05-01,5000,190.5418,26.241,SIP
12,INV0001,103504,2020-05-31,5000,157.8272,31.6802,SIP
13,INV0001,103504,2020-06-30,5000,197.289,25.3435,SIP
14,INV0001,103504,2020-07-30,5000,479.4652,10.4283,SIP
15,INV0001,103504,2020-08-29,5000,537.955,9.2945,SIP
16,INV0001,103504,2020-09-28,5000,463.8847,10.7785,SIP
17,INV0001,103504,2020-10-28,5000,475.7605,10.5095,SIP
18,INV0001,103504,2020-11-27,5000,203.7828,24.5359,SIP
19,INV0001,103504,2020-12-27,5000,369.7177,13.5238,SIP
20,INV0001,103504,2021-01-26,5000,444.8594,11.2395,SIP
21,INV0001,103504,2021-02-25,5000,485.7694,10.2929,SIP
22,INV0001,103504,2021-03-27,5000,195.6364,25.5576,SIP
23,INV0001,103504,2021-04-26,5000,310.6427,16.0957,SIP
24,INV0001,103504,2021-05-26,5000,364.9883,13.6991,SIP
25,INV0001,103504,2021-06-25,5000,220.6968,22.6555,SIP
26,INV0001,103504,2021-07-25,5000,194.5004,25.7069,SIP
27,INV0001,103504,2021-08-24,5000,207.5169,24.0944,SIP
28,INV0001,103504,2021-09-23,5000,316.6896,15.7883,SIP
29,INV0001,103504,2021-10-23,5000,335.4725,14.9044,SIP
30,INV0001,103504,2021-11-22,5000,438.2682,11.4085,SIP
31,INV0001,103504,2021-12-22,5000,204.8251,24.4111,SIP
32,INV0001,103504,2022-01-21,5000,190.4074,26.2595,SIP
33,INV0001,103504,2022-02-20,5000,186.2676,26.8431,SIP
34,INV0001,103504,2022-03-22,5000,330.3706,15.1345,SIP
35,INV0001,103504,2022-04-21,5000,155.6745,32.1183,SIP
36,INV0001,103504,2022-05-21,5000,539.2581,9.272,SIP
37,INV0001,103504,2022-06-20,5000,175.3354,28.5168,SIP
38,INV0002,130503,2020-06-18,500,75.8731,6.59,SIP
6408,INV0002,108005,2020-07-13,10000,247.083,40.4722,Lumpsum
39,INV0002,130503,2020-07-18,500,82.8582,6.0344,SIP
40,INV0002,130503,2020-08-17,500,107.6322,4.6454,SIP
41,INV0002,130503,2020-09-16,500,98.961,5.0525,SIP
42,INV0002,130503,2020-10-16,500,65.9524,7.5812,SIP
43,INV0002,130503,2020-11-15,500,99.62,5.0191,SIP
44,INV0002,130503,2020-12-15,500,68.5737,7.2914,SIP
45,INV0002,130503,2021-01-14,500,64.7863,7.7177,SIP
46,INV0002,130503,2021-02-13,500,76.7992,6.5105,SIP
47,INV0002,130503,2021-03-15,500,93.1394,5.3683,SIP
48,INV0002,130503,2021-04-14,500,69.9045,7.1526,SIP
49,INV0002,130503,2021-05-14,500,65.6597,7.615,SIP
5945,INV0002,116230,2021-05-20,100000,42.8579,2333.2921,Lumpsum
50,INV0002,130503,2021-06-13,500,68.8193,7.2654,SIP
51,INV0002,130503,2021-07-13,500,105.1955,4.7531,SIP
52,INV0002,130503,2021-08-12,500,103.0374,4.8526,SIP
53,INV0002,130503,2021-09-11,500,102.8622,4.8609,SIP
54,INV0002,130503,2021-10-11,500,105.275,4.7495,SIP
55,INV0002,130503,2021-11-10,500,57.5132,8.6937,SIP
56,INV0002,130503,2021-12-10,500,127.1942,3.931,SIP
57,INV0002,130503,2022-01-09,500,106.3976,4.6994,SIP
58,INV0003,110478,2019-06-21,5000,133.1867,37.5413,SIP
59,INV0003,110478,2019-07-21,5000,128.519,38.9048,SIP
60,INV0003,110478,2019-08-20,5000,140.5048,35.586,SIP
61,INV0003,110478,2019-09-19,5000,147.495,33.8995,SIP
62,INV0003,110478,2019-10-19,5000,114.0467,43.8417,SIP
63,INV0003,110478,2019-11-18,5000,157.7373,31.6983,SIP
64,INV0003,110478,2019-12-18,5000,106.1046,47.1233,SIP
65,INV0003,110478,2020-01-17,5000,106.5288,46.9357,SIP
66,INV0003,110478,2020-02-16,5000,129.5854,38.5846,SIP
67,INV0003,110478,2020-03-17,5000,151.665,32.9674,SIP
68,INV0003,110478,2020-04-16,5000,117.1355,42.6856,SIP
69,INV0003,110478,2020-05-16,5000,114.9838,43.4844,SIP
