amfi_code,nav_date,nav
125497,2019-04-01,103.2737
125497,2019-04-02,104.515
125497,2019-04-03,102.4462
125497,2019-04-04,102.0755
125497,2019-04-05,102.3157
125497,2019-04-08,103.0763
125497,2019-04-09,103.9973
125497,2019-04-10,105.029
125497,2019-04-11,104.6315
125497,2019-04-12,104.0928
125497,2019-04-15,105.2061
125497,2019-04-16,105.0067
125497,2019-04-17,103.4412
125497,2019-04-18,102.0759
125497,2019-04-19,100.9905
125497,2019-04-22,101.6334
125497,2019-04-23,101.8477
125497,2019-04-24,102.7323
125497,2019-04-25,102.2467
125497,2019-04-26,102.4821
125497,2019-04-29,103.2925
125497,2019-04-30,102.9504
125497,2019-05-01,103.5558
125497,2019-05-02,102.7747
125497,2019-05-03,102.3681
125497,2019-05-06,101.9401
125497,2019-05-07,100.518
125497,2019-05-08,101.1456
125497,2019-05-09,100.6163
125497,2019-05-10,100.6717
125497,2019-05-13,101.2927
125497,2019-05-14,101.876
125497,2019-05-15,102.7302
125497,2019-05-16,102.6499
125497,2019-05-17,102.1695
125497,2019-05-20,102.1126
125497,2019-05-21,100.0859
125497,2019-05-22,98.3879
125497,2019-05-23,96.8656
125497,2019-05-24,95.7452
125497,2019-05-27,96.2428
125497,2019-05-28,95.2355
125497,2019-05-29,94.8415
125497,2019-05-30,96.358
125497,2019-05-31,95.9846
125497,2019-06-03,96.8725
125497,2019-06-04,95.826
125497,2019-06-05,95.6281
125497,2019-06-06,94.5761
125497,2019-06-07,94.2292
125497,2019-06-10,95.217
125497,2019-06-11,93.2815
125497,2019-06-12,93.8051
125497,2019-06-13,94.1102
125497,2019-06-14,93.4769
125497,2019-06-17,91.8922
125497,2019-06-18,92.0085
125497,2019-06-19,91.4607
125497,2019-06-20,91.7526
125497,2019-06-21,91.8134
125497,2019-06-24,93.6149
125497,2019-06-25,93.3834
125497,2019-06-26,92.2739
125497,2019-06-27,92.5093
125497,2019-06-28,92.7905
125497,2019-07-01,94.3411
125497,2019-07-02,95.3242
125497,2019-07-03,95.7706
125497,2019-07-04,97.4906
125497,2019-07-05,96.1389
125497,2019-07-08,95.4393
125497,2019-07-09,94.4162
125497,2019-07-10,94.0124
125497,2019-07-11,92.4969
125497,2019-07-12,93.2389
125497,2019-07-15,93.0275
125497,2019-07-16,91.4228
125497,2019-07-17,90.3452
125497,2019-07-18,90.7213
125497,2019-07-19,91.67
125497,2019-07-22,93.9031
125497,2019-07-23,97.2241
125497,2019-07-24,97.7465
125497,2019-07-25,96.6249
125497,2019-07-26,94.1915
125497,2019-07-29,94.5317
125497,2019-07-30,93.6474
125497,2019-07-31,93.2181
125497,2019-08-01,92.5706
125497,2019-08-02,92.4513
125497,2019-08-05,93.6709
125497,2019-08-06,93.8849
125497,2019-08-07,93.7437
125497,2019-08-08,92.6162
125497,2019-08-09,90.792
125497,2019-08-12,90.2985
125497,2019-08-13,90.2763
125497,2019-08-14,92.2276
125497,2019-08-15,92.4087
125497,2019-08-16,93.5354
125497,2019-08-19,93.0124
125497,2019-08-20,91.7271
125497,2019-08-21,90.7014
125497,2019-08-22,89.9484
125497,2019-08-23,92.2818
125497,2019-08-26,91.4091
125497,2019-08-27,92.3654
125497,2019-08-28,91.4016
125497,2019-08-29,92.4599
125497,2019-08-30,92.924
125497,2019-09-02,92.7865
125497,2019-09-03,92.7782
125497,2019-09-04,92.0863
125497,2019-09-05,92.6161
125497,2019-09-06,92.1475
125497,2019-09-09,90.8291
125497,2019-09-10,89.4725
125497,2019-09-11,89.6936
125497,2019-09-12,91.4291
125497,2019-09-13,91.6412
125497,2019-09-16,91.5474
125497,2019-09-17,91.898
125497,2019-09-18,93.375
125497,2019-09-19,93.6582
125497,2019-09-20,93.2338
125497,2019-09-23,94.5088
125497,2019-09-24,95.0329
125497,2019-09-25,96.8223
125497,2019-09-26,97.0739
125497,2019-09-27,95.6863
125497,2019-09-30,94.1536
125497,2019-10-01,96.0566
125497,2019-10-02,98.0819
125497,2019-10-03,97.9098
125497,2019-10-04,97.4987
125497,2019-10-07,99.2476
125497,2019-10-08,97.9689
125497,2019-10-09,96.9562
125497,2019-10-10,97.7435
125497,2019-10-11,97.3197
125497,2019-10-14,97.3527
125497,2019-10-15,97.2007
125497,2019-10-16,97.6333
125497,2019-10-17,99.3213
125497,2019-10-18,99.469
125497,2019-10-21,100.2775
125497,2019-10-22,97.8505
125497,2019-10-23,97.8325
125497,2019-10-24,96.8817
125497,2019-10-25,95.5034
125497,2019-10-28,94.5352
125497,2019-10-29,94.194
125497,2019-10-30,95.267
125497,2019-10-31,93.7887
125497,2019-11-01,93.8607
125497,2019-11-04,93.3529
125497,2019-11-05,93.0232
125497,2019-11-06,94.1798
125497,2019-11-07,94.8256
125497,2019-11-08,96.3854
125497,2019-11-11,96.2452
125497,2019-11-12,95.4799
125497,2019-11-13,95.2616
125497,2019-11-14,95.577
125497,2019-11-15,95.8177
125497,2019-11-18,94.6092
125497,2019-11-19,94.7498
125497,2019-11-20,95.0472
125497,2019-11-21,97.9565
125497,2019-11-22,100.2019
125497,2019-11-25,99.216
125497,2019-11-26,98.9135
125497,2019-11-27,97.2161
125497,2019-11-28,96.5658
125497,2019-11-29,96.9702
125497,2019-12-02,98.4122
125497,2019-12-03,97.5905
125497,2019-12-04,96.8635
125497,2019-12-05,94.4063
125497,2019-12-06,94.2598
125497,2019-12-09,93.0958
125497,2019-12-10,92.5415
125497,2019-12-11,91.6048
125497,2019-12-12,91.5378
125497,2019-12-13,89.6437
125497,2019-12-16,88.1014
125497,2019-12-17,90.3877
125497,2019-12-18,89.0275
125497,2019-12-19,87.8913
125497,2019-12-20,89.8639
125497,2019-12-23,93.0325
125497,2019-12-24,91.7618
125497,2019-12-25,91.393
125497,2019-12-26,91.8042
125497,2019-12-27,93.7453
125497,2019-12-30,92.6727
125497,2019-12-31,92.437
125497,2020-01-01,93.3362
125497,2020-01-02,93.8605
125497,2020-01-03,93.4744
125497,2020-01-06,93.3616
125497,2020-01-07,91.8586
125497,2020-01-08,91.6328
125497,2020-01-09,91.3766
125497,2020-01-10,91.6677
125497,2020-01-13,91.0935
125497,2020-01-14,91.6454
125497,2020-01-15,92.7958
125497,2020-01-16,93.006
125497,2020-01-17,93.4358
125497,2020-01-20,93.5327
125497,2020-01-21,93.5702
125497,2020-01-22,92.7975
125497,2020-01-23,93.187
125497,2020-01-24,93.1155
125497,2020-01-27,95.4916
125497,2020-01-28,97.3328
125497,2020-01-29,97.8224
125497,2020-01-30,96.9658
125497,2020-01-31,95.7101
125497,2020-02-03,97.1165
125497,2020-02-04,97.4615
125497,2020-02-05,98.0621
125497,2020-02-06,96.0484
125497,2020-02-07,97.1557
125497,2020-02-10,97.7244
125497,2020-02-11,96.4613
125497,2020-02-12,95.9541
125497,2020-02-13,96.2961
125497,2020-02-14,96.3952
125497,2020-02-17,96.0958
125497,2020-02-18,96.0149
125497,2020-02-19,95.763
125497,2020-02-20,95.9766
